"sample.id","Genus","Taxon","Percent_Sample"
35,"Hydrophyllum","Hydrophyllum fendleri",0.640794651060117
35,"Mertensia","Mertensia fusiformis",0.537634408602151
35,"Dasiphora","Dasiphora fruticosa",0.5
35,"Lonicer ","Lonicer involucrata",0.5
35,"Viola","Viola adunca",0.5
35,"Viola","Viola praemorsa",0.5
36,"Delphinium","Delphinium nuttallianum",75.2627698434331
36,"Hydrophyllum","Hydrophyllum fendleri",12.1284208993814
36,"Lupinus","Lupinus sericeus",10.5488988428518
36,"Mertensia","Mertensia fusiformis",0.559910414333707
36,"Erigeron","Erigeron elatior",0.5
36,"Salix","Salix",0.5
36,"Taraxacum","Taraxacum officinale",0.5
39,"Delphinium","Delphinium nuttallianum",97.2639219569716
39,"Hydrophyllum","Hydrophyllum capitatum",0.868039021514179
39,"Hydrophyllum","Hydrophyllum fendleri",0.868039021514179
39,"Dasiphora","Dasiphora fruticosa",0.5
39,"Taraxacum","Taraxacum officinale",0.5
40,"Aquilegia","Aquilegia coerulea",63.6432858250791
40,"Hydrophyllum","Hydrophyllum fendleri",17.6290146444045
40,"Lupinus","Lupinus sericeus",16.7276995305164
40,"Taraxacum","Taraxacum officinale",0.5
40,"Thalictrum","Thalictrum fendleri",0.5
40,"Vicia","Vicia americana",0.5
40,"Viola","Viola canadensis",0.5
41,"Mertensia","Mertensia ciliata",95.971493125661
41,"Hydrophyllum","Hydrophyllum fendleri",1.7764319256592
41,"Lithophragma","Lithophragma glabrum",0.752074948679795
41,"Erigeron","Erigeron speciosus",0.5
41,"Lupinus","Lupinus sericeus",0.5
41,"Viola","Viola adunca",0.5
42,"Delphinium","Delphinium nuttallianum",73.559686888454
42,"Mertensia","Mertensia ciliata",24.440313111546
42,"Eremogone","Eremogone congesta",0.5
42,"Potentilla","Potentilla pulcherrima",0.5
42,"Rhodiola","Rhodiola rosea",0.5
42,"Wyethia","Wyethia arizonica",0.5
43,"Mertensia","Mertensia fusiformis",96.9420397143355
43,"Geranium","Geranium richardsonii",0.801254136909946
43,"Hydrophyllum","Hydrophyllum fendleri",0.756706148754574
43,"Erigeron","Erigeron elatior",0.5
43,"Lupinus","Lupinus sericeus",0.5
43,"Taraxacum","Taraxacum officinale",0.5
44,"Mertensia","Mertensia ciliata",97.4076899909648
44,"Epilobium","Epilobium canum",0.5
44,"Erigeron","Erigeron speciosus",0.5
44,"Lupinus","Lupinus sericeus",0.5
44,"Taraxacum","Taraxacum officinale",0.5
44,"Delphinium","Delphinium barbeyi",0.296155004517619
44,"Delphinium","Delphinium nuttallianum",0.296155004517619
46,"Salix","Salix",70.8476331360947
46,"Mertensia","Mertensia fusiformis",27.6523668639053
46,"Hydrophyllum","Hydrophyllum fendleri",0.5
46,"Lupinus","Lupinus sericeus",0.5
46,"Senecio","Senecio integerrimus",0.5
49,"Delphinium","Delphinium barbeyi",97.9687657111434
49,"Lithophragma","Lithophragma glabrum",0.53123428885655
49,"Eremogone","Eremogone congesta",0.5
49,"Vicia","Vicia americana",0.5
49,"Viola","Viola adunca",0.5
51,"Delphinium","Delphinium nuttallianum",96.4751263543442
51,"Dasiphora","Dasiphora fruticosa",1.29521276595745
51,"Lithophragma","Lithophragma glabrum",0.729660879698396
51,"Helianthella","Helianthella quinquenervis",0.5
51,"Viola","Viola canadensis",0.5
51,"Viola","Viola praemorsa",0.5
52,"Lupinus","Lupinus sericeus",79.5059312524295
52,"Delphinium","Delphinium nuttallianum",16.2430031841797
52,"Potentilla","Potentilla pulcherrima",1.6980238338785
52,"Mertensia","Mertensia fusiformis",0.553041729512318
52,"Eremogone","Eremogone congesta",0.5
52,"Erigeron","Erigeron elatior",0.5
52,"Hydrophyllum ","Hydrophyllum fendleri",0.5
52,"Wyethia","Wyethia arizonica",0.5
55,"Mertensia","Mertensia fusiformis",66.3137632338787
55,"Lupinus","Lupinus sericeus",28.3926852743022
55,"Delphinium","Delphinium barbeyi",2.08305551208584
55,"Delphinium","Delphinium nuttallianum",2.08305551208584
55,"Hydrophyllum","Hydrophyllum fendleri",1.12744046764737
56,"Lupinus","Lupinus sericeus",67.6086249103817
56,"Hydrophyllum","Hydrophyllum fendleri",30.2448057813912
56,"Lathyrus","Lathyrus lanszwertii",1.14656930822718
56,"Mertensia","Mertensia fusiformis",0.5
56,"Senecio","Senecio integerrimus",0.5
60,"Hydrophyllum","Hydrophyllum fendleri",53.8658224372493
60,"Lupinus","Lupinus sericeus",42.0128686605027
60,"Aquilegia","Aquilegia coerulea",1.03893946751263
60,"Erigeron","Erigeron speciosus",0.941391941391939
60,"Lathyrus","Lathyrus lanszwertii",0.640977493343471
60,"Frasera ","Frasera speciosus",0.5
60,"Mertensia","Mertensia ciliata",0.5
60,"Viola","Viola adunca",0.5
65,"Mertensia","Mertensia ciliata",48.3931945883165
65,"Mertensia","Mertensia fusiformis",48.3931945883165
65,"Hydrophyllum","Hydrophyllum fendleri",1.21361082336692
65,"Erigeron","Erigeron elatior",0.5
65,"Lupinus","Lupinus sericeus",0.5
65,"Salix","Salix",0.5
65,"Viola","Viola praemorsa",0.5
